"","customerID","gender","SeniorCitizen","Partner","Dependents"
"136","2372-HWUHI","male","0","no","No"
"137","7799-LGRDP","female","0","no","No"
"138","7850-VWJUU","female","0","no","No"
"139","3774-VBNXY","female","0","yes","Yes"
"140","6217-KDYWC","male","0","no","Yes"
"141","0390-DCFDQ","female","1","yes","No"
"142","3146-MSEGF","female","1","yes","Yes"
"143","4080-OGPJL","female","0","no","No"
"144","1095-WGNGG","female","0","yes","No"
"145","2636-SJDOU","male","0","no","No"
"146","1131-QQZEB","male","1","yes","No"
"147","5716-EZXZN","female","0","yes","Yes"
"148","6837-BJYDQ","male","0","no","No"
"149","2135-RXIHG","male","0","no","No"
"150","6440-DKQGE","male","0","no","Yes"
"151","3466-BYAVD","male","0","yes","Yes"
"152","3780-YVMFA","female","0","yes","Yes"
"153","3874-EQOEP","male","0","no","No"
"154","1679-JRFBR","female","0","yes","Yes"
"155","9073-ZZIAY","male","0","yes","Yes"
"156","3077-RSNTJ","female","0","yes","Yes"
"157","6551-GNYDG","female","0","yes","Yes"
"158","9167-APMXZ","female","0","no","No"
"159","2749-CTKAJ","male","0","yes","Yes"
"160","6371-NZYEG","male","0","yes","Yes"
"161","7554-NEWDD","male","0","no","No"
"162","8992-VONJD","female","0","no","Yes"
"163","0867-MKZVY","female","0","yes","No"
"164","4482-EWFMI","female","0","no","No"
"165","4648-YPBTM","male","0","no","No"
"166","2907-ILJBN","female","0","yes","Yes"
"167","6345-FZOQH","male","0","yes","No"
"168","3376-BMGFE","female","0","no","No"
"169","5997-OPVFA","male","0","yes","No"
"170","3445-HXXGF","male","1","yes","No"
"171","1159-WFSGR","female","0","yes","Yes"
"172","7654-YWJUF","male","0","yes","No"
"173","1875-QIVME","female","0","yes","No"
"174","6727-IOTLZ","male","0","yes","No"
"175","0691-JVSYA","female","0","yes","No"
"176","5918-VUKWP","female","0","no","No"
"177","1744-JHKYS","female","0","yes","No"
"178","2656-FMOKZ","female","1","no","No"
"179","2070-FNEXE","female","1","no","No"
"180","5947-SGKCL","female","0","yes","Yes"
"181","3712-PKXZA","male","0","yes","No"
"182","6317-YPKDH","female","0","no","No"
"183","6582-OIVSP","female","0","no","No"
"184","9367-WXLCH","male","0","no","No"
"185","5524-KHNJP","male","0","yes","Yes"
"186","1918-ZBFQJ","female","0","no","No"
"187","1024-GUALD","female","0","yes","No"
"188","4827-USJHP","male","0","no","No"
"189","8167-GJLRN","male","0","no","No"
"190","0956-SYCWG","female","0","no","No"
"191","8017-UVSZU","female","0","yes","No"
"192","7100-FQPRV","male","0","yes","Yes"
"193","2472-OVKUP","male","0","yes","No"
"194","2984-RGEYA","female","0","yes","Yes"
"195","9680-NIAUV","female","0","yes","Yes"
"196","2146-EGVDT","male","0","yes","Yes"
"197","2604-IJPDU","female","0","yes","No"
"198","9178-JHUVJ","male","0","yes","Yes"
"199","6168-YBYNP","male","0","no","No"
"200","7255-SSFBC","male","0","yes","Yes"
"201","3645-DEYGF","male","0","no","Yes"
"202","9323-HGFWY","female","0","yes","No"
"203","8544-GOQSH","female","0","no","No"
"204","3363-DTIVD","male","0","yes","Yes"
"205","7018-WBJNK","male","0","no","Yes"
"206","9142-KZXOP","male","0","no","No"
"207","7674-YTAFD","female","0","no","No"
"208","6348-SNFUS","male","0","yes","Yes"
"209","1285-OKIPP","male","0","no","No"
"210","7825-ECJRF","female","0","no","No"
"211","1347-KTTTA","male","0","yes","No"
"212","7841-TZDMQ","male","0","no","No"
"213","4195-NZGTA","female","0","no","No"
"214","7157-SMCFK","male","0","no","Yes"
"215","4709-LKHYG","female","0","yes","Yes"
"216","2504-DSHIH","male","1","yes","No"
"217","0699-NDKJM","female","0","yes","No"
"218","9286-BHDQG","male","0","yes","Yes"
"219","0230-WEQUW","male","0","yes","No"
"220","2040-LDIWQ","male","0","yes","Yes"
"221","6496-JDSSB","female","0","no","No"
"222","9408-SSNVZ","female","0","no","No"
"223","4443-EMBNA","female","0","yes","No"
"224","6469-MRVET","male","0","yes","Yes"
"225","0742-MOABM","male","0","yes","No"
"226","5961-VUSRV","female","0","no","No"
"227","6778-JFCMK","male","0","no","No"
"228","6341-JVQGF","female","0","yes","Yes"
"229","2232-DMLXU","female","0","yes","No"
"230","4811-JBUVU","male","0","no","No"
"231","0945-TSONX","female","0","yes","Yes"
"232","2651-ZCBXV","male","0","no","No"
"233","3316-UWXUY","male","0","no","No"
"234","8937-RDTHP","male","0","no","No"
"235","7083-MIOPC","female","0","no","No"
"236","1984-GPTEH","female","0","no","No"
"237","1251-KRREG","male","0","no","No"
"238","0621-JFHOL","female","0","no","No"
"239","9903-LYSAB","male","0","yes","No"
"240","0094-OIFMO","female","1","no","No"
"241","9227-UAQFT","male","0","no","No"
"242","7301-ABVAD","female","0","no","No"
"243","6614-FHDBO","male","0","no","No"
"244","7576-ASEJU","female","0","yes","Yes"
"245","9058-HRZSV","female","1","yes","No"
"246","4522-AKYLR","female","1","no","No"
"247","0221-WMXNQ","male","1","no","No"
"248","0303-UNCIP","male","0","no","No"
"249","9947-OTFQU","male","1","no","No"
"250","0322-YINQP","male","0","no","No"
"251","0959-WHOKV","male","0","no","No"
"252","4075-JFPGR","female","0","yes","No"
"253","4629-NRXKX","female","0","yes","Yes"
"254","9514-JDSKI","male","1","yes","No"
"255","3282-ZISZV","male","0","no","Yes"
"256","3675-YDUPJ","male","0","no","No"
"257","4111-BNXIF","female","0","yes","Yes"
"258","7017-VFHAY","female","0","yes","Yes"
"259","6655-LHBYW","male","0","no","No"
"260","4959-JOSRX","female","0","yes","No"
"261","5046-NUHWD","female","1","yes","No"
"262","7273-TEFQD","male","1","no","No"
"263","3606-TWKGI","male","1","no","No"
"264","7529-ZDFXI","male","1","yes","No"
"265","7605-BDWDC","female","0","no","No"
"266","1950-KSVVJ","female","0","yes","No"
"267","0123-CRBRT","female","0","yes","Yes"
"268","6292-TOSSS","male","0","no","No"
"269","3197-ARFOY","female","1","no","No"
"270","6323-AYBRX","male","0","no","No"
"271","7014-ZZXAW","female","0","yes","No"
"272","4385-GZQXV","female","1","no","No"
"273","7633-MVPUY","male","0","yes","No"
"274","6366-ZGQGL","male","0","no","No"
"275","4716-HHKQH","male","1","yes","No"
"276","5940-AHUHD","male","0","no","No"
"277","6432-TWQLB","male","0","yes","No"
"278","4484-GLZOU","female","0","yes","No"
"279","3179-GBRWV","male","1","yes","No"
"280","8645-KWHJO","male","0","no","No"
"281","4130-MZLCC","female","0","no","No"
"282","0314-TKOSI","female","0","no","No"
"283","8229-MYEJZ","female","0","no","No"
"284","2080-SRCDE","female","0","no","Yes"
"285","9577-WJVCQ","female","0","no","No"
"286","9512-UIBFX","male","0","yes","Yes"
"287","6202-DYYFX","female","0","no","No"
"288","3808-HFKDE","female","0","no","No"
"289","5583-SXDAG","male","0","yes","No"
"290","3488-PGMQJ","male","1","no","No"
"291","3580-REOAC","male","0","no","No"
"292","7534-BFESC","male","1","no","No"
"293","3727-OWVYD","male","0","no","No"
"294","2294-SALNE","male","0","yes","Yes"
"295","4847-TAJYI","female","1","no","No"
"296","1563-IWQEX","female","0","no","No"
"297","8203-XJZRC","male","0","no","No"
"298","6556-DBKZF","female","0","yes","Yes"
"299","6851-WEFYX","male","1","yes","No"
"300","2985-JUUBZ","male","0","yes","Yes"
"301","6390-DSAZX","female","0","no","Yes"
"302","0895-LMRSF","male","0","no","No"
"303","8098-LLAZX","female","1","no","No"
"304","8266-VBFQL","male","0","no","No"
"305","8181-YHCMF","female","0","yes","Yes"
"306","2240-HSJQD","male","0","no","Yes"
"307","1248-DYXUB","male","0","yes","Yes"
"308","0265-EDXBD","male","1","yes","No"
"309","4115-BNPJY","male","0","yes","Yes"
"310","3167-SNQPL","male","1","yes","Yes"
"311","4091-TVOCN","male","0","no","Yes"
"312","1098-TDVUQ","female","0","no","No"
"313","7277-OZCGZ","female","0","no","No"
"314","1557-EMYVT","female","0","no","No"
"315","2799-ARNLO","female","1","yes","No"
"316","7563-BIUPC","male","0","no","No"
"317","5027-YOCXN","male","0","yes","Yes"
"318","3973-SKMLN","male","0","no","No"
"319","2321-OMBXY","female","0","yes","Yes"
"320","2840-XANRC","male","1","yes","No"
"321","6745-JEFZB","male","0","yes","No"
"322","5020-ZSTTY","female","1","no","No"
"323","9880-TDQAC","female","0","yes","Yes"
"324","8705-WZCYL","male","0","no","No"
"325","7102-JJVTX","female","0","yes","Yes"
"326","8626-PTQGE","male","0","no","No"
"327","4983-CLMLV","female","0","yes","No"
"328","5701-YVSVF","female","1","yes","No"
"329","5804-LEPIM","female","1","no","No"
"330","5697-GOMBF","female","1","yes","Yes"
"331","2739-CACDQ","female","1","no","No"
"332","9385-EHGDO","female","0","yes","Yes"
"333","9498-FIMXL","female","0","no","No"
"334","2379-GYFLQ","male","0","no","No"
"335","0122-OAHPZ","female","0","no","No"
"336","2868-SNELZ","female","0","no","No"
"337","4322-RCYMT","male","0","yes","Yes"
"338","6680-NENYN","female","0","no","No"
"339","2088-IEBAU","female","0","no","No"
"340","7982-VCELR","female","0","no","No"
"341","1343-EHPYB","male","0","yes","No"
"342","6035-BXTTY","female","1","no","No"
"343","6885-PKOAM","female","0","yes","No"
"344","7520-HQWJU","female","0","yes","Yes"
"345","9639-BUJXT","male","0","no","No"
"346","5924-SNGKP","female","0","no","Yes"
"347","0021-IKXGC","female","1","no","No"
"348","2034-GDRCN","female","0","no","No"
"349","8966-SNIZF","female","0","yes","No"
"350","6243-OZGFH","female","0","no","No"
"351","4654-DLAMQ","female","1","yes","No"
"352","0513-RBGPE","male","0","yes","Yes"
"353","5160-UXJED","male","0","no","Yes"
"354","4115-NZRKS","female","1","no","No"
"355","0219-YTZUE","male","0","yes","Yes"
"356","0623-IIHUG","female","1","no","No"
"357","4572-DVCGN","female","0","no","No"
"358","3351-NGXYI","female","1","no","No"
"359","8984-EYLLL","male","0","yes","No"
"360","9057-MSWCO","male","1","yes","No"
"361","9833-TGFHX","male","0","yes","Yes"
"362","9294-TDIPC","male","0","no","Yes"
"363","5229-DTFYB","female","0","no","No"
"364","0104-PPXDV","male","0","yes","No"
"365","5176-LMJXE","female","0","no","No"
"366","3583-KRKMD","male","0","no","No"
"367","1010-DIAUQ","male","0","no","No"
"368","9069-LGEUL","male","0","yes","No"
"369","7302-ZHMHP","female","0","no","No"
"370","9571-EDEBV","male","0","yes","No"
"371","3520-FJGCV","male","0","yes","Yes"
"372","6563-VRERX","male","0","yes","Yes"
"373","0259-GBZSH","male","0","no","No"
"374","6122-EFVKN","male","0","no","Yes"
"375","2805-EDJPQ","female","0","yes","Yes"
"376","6862-CQUMB","male","0","no","No"
"377","7156-MXBJE","female","0","no","No"
"378","6158-HDPXZ","male","0","no","No"
"379","9601-BRXPO","female","0","yes","No"
"380","2863-IMQDR","female","0","no","No"
"381","5686-CMAWK","male","0","no","No"
"382","5651-CRHKQ","female","0","yes","No"
"383","6905-NIQIN","male","0","no","No"
"384","8204-YJCLA","male","1","yes","Yes"
"385","5167-ZFFMM","male","0","no","No"
"386","6583-SZVGP","male","0","no","No"
"387","4895-TMWIR","male","1","yes","No"
"388","0533-BNWKF","female","1","yes","No"
"389","1708-PBBOA","female","0","no","No"
"390","8782-LKFPK","male","0","no","No"
"391","5522-JBWMO","male","0","no","Yes"
"392","3597-MVHJT","female","0","no","No"
"393","9774-NRNAU","male","1","yes","No"
"394","0224-RLWWD","female","1","no","No"
"395","9967-ATRFS","female","0","no","No"
"396","3951-NJCVI","female","1","yes","No"
"397","2977-CEBSX","female","0","no","No"
"398","0177-PXBAT","male","1","yes","No"
"399","6599-CEBNN","female","0","no","No"
"400","2519-ERQOJ","male","1","no","No"
"401","5876-QMYLD","female","0","yes","Yes"
"402","2277-AXSDC","female","0","no","No"
"403","9442-JTWDL","female","0","no","No"
"404","0979-PHULV","male","0","yes","Yes"
"405","3067-SVMTC","female","0","yes","No"
"406","5495-GPSRW","male","0","no","No"
"407","7606-BPHHN","male","0","no","No"
"408","4742-DRORA","male","0","yes","Yes"
"409","0111-KLBQG","male","1","yes","Yes"
"410","4800-VHZKI","female","0","no","No"
"411","7989-CHGTL","male","0","no","No"
"412","0334-GDDSO","male","1","no","No"
"413","4163-NCJAK","female","0","yes","No"
"414","5233-AOZUF","female","0","yes","No"
"415","5973-EJGDP","male","0","no","No"
"416","1996-DBMUS","female","1","yes","No"
"417","7916-VCCPB","female","0","yes","Yes"
"418","4686-GEFRM","male","0","yes","No"
"419","5249-QYHEX","female","0","yes","Yes"
"420","0578-SKVMF","female","0","yes","Yes"
"421","5564-NEMQO","female","1","no","No"
"422","2233-FAGXV","female","0","yes","Yes"
"423","5605-IYGFG","female","0","no","No"
"424","7663-ZTEGJ","male","0","no","Yes"
"425","3935-TBRZZ","male","0","yes","Yes"
"426","8111-BKVDS","female","0","no","No"
"427","2055-SIFSS","female","1","yes","No"
"428","2806-MLNTI","male","1","yes","No"
"429","8734-DKSTZ","female","0","yes","Yes"
"430","4360-PNRQB","male","0","no","No"
"431","6152-ONASV","female","0","yes","No"
"432","9063-ZGTUY","female","0","yes","Yes"
"433","7781-HVGMK","female","0","yes","Yes"
"434","2181-UAESM","male","0","no","No"
"435","2957-LOLHO","male","0","no","No"
"436","6048-NJXHX","male","0","yes","No"
"437","2320-SLKMB","female","0","no","No"
"438","4980-URKXC","male","0","yes","No"
"439","4376-KFVRS","male","0","yes","Yes"
"440","5886-VLQVU","male","0","yes","No"
"441","3577-AMVUX","male","0","no","No"
"442","0771-WLCLA","female","0","yes","Yes"
"443","5628-RKIFK","female","1","no","No"
"444","0206-TBWLC","female","0","yes","No"
"445","2937-FTHUR","female","0","no","Yes"
"446","1910-FMXJM","female","0","yes","No"
"447","7752-XUSCI","female","0","no","No"
"448","4110-PFEUZ","female","0","no","No"
"449","0732-OCQOC","female","0","yes","Yes"
"450","5168-MSWXT","male","0","yes","Yes"
"451","1090-ESELR","male","0","yes","Yes"
"452","8592-PLTMQ","female","0","no","No"
"453","5760-WRAHC","female","1","no","No"
"454","8847-GEOOQ","male","0","yes","No"
"455","0256-LTHVJ","female","0","yes","Yes"
"456","4785-FCIFB","female","0","yes","No"
"457","8313-NDOIA","female","0","no","No"
"458","5149-CUZUJ","male","0","yes","Yes"
"459","0942-KOWSM","female","0","yes","Yes"
"460","4237-CLSMM","male","0","yes","No"
"461","1452-VOQCH","male","0","no","No"
"462","4719-UMSIY","male","0","no","Yes"
"463","6614-VBEGU","female","0","yes","No"
"464","0880-TKATG","male","0","yes","Yes"
"465","3811-VBYBZ","male","0","no","No"
"466","1480-BKXGA","male","1","yes","No"
"467","2996-XAUVF","male","0","no","No"
"468","9076-AXYIK","male","1","yes","No"
"469","5968-XQIVE","male","0","yes","Yes"
"470","8896-RAZCR","female","0","no","Yes"
"471","4640-UHDOS","female","0","yes","Yes"
"472","4933-IKULF","female","1","no","No"
"473","3583-EKAPL","male","0","no","No"
"474","1304-BCCFO","male","0","yes","No"
"475","4104-PVRPS","male","0","yes","No"
"476","9399-APLBT","female","0","yes","Yes"
"477","2359-KMGLI","male","0","no","No"
"478","3780-DDGSE","male","1","yes","Yes"
"479","4431-EDMIQ","female","0","yes","Yes"
"480","0306-JAELE","male","0","no","No"
"481","6227-HWPWX","female","0","no","Yes"
"482","0486-LGCCH","male","0","yes","Yes"
"483","0447-BEMNG","female","0","yes","No"
"484","4612-SSVHJ","female","1","no","No"
"485","5168-MQQCA","female","0","yes","No"
"486","5949-XIKAE","female","0","yes","Yes"
"487","7971-HLVXI","male","0","yes","Yes"
"488","9094-AZPHK","female","0","no","No"
"489","3649-JPUGY","male","0","no","No"
"490","4472-LVYGI","female","0","yes","Yes"
"491","8372-JUXUI","male","0","no","Yes"
"492","3552-CTCYF","male","0","yes","Yes"
"493","6778-YSNIH","female","0","no","No"
"494","0388-EOPEX","female","0","yes","No"
"495","5756-OZRIO","male","1","yes","No"
"496","6579-JPICP","male","0","no","No"
"497","8205-OTCHB","male","0","no","No"
"498","4134-BSXLX","male","0","yes","No"
"499","0505-SPOOW","female","0","yes","No"
"500","6235-VDHOM","female","1","no","No"
"501","7783-YKGDV","female","0","no","No"
"502","4374-YMUSQ","male","0","no","No"
"503","4513-CXYIX","female","1","yes","No"
"504","3957-HHLMR","female","0","yes","Yes"
"505","7803-XOCCZ","female","0","yes","Yes"
"506","5736-YEJAX","male","0","no","Yes"
"507","5609-CEBID","female","1","no","No"
"508","8981-FJGLA","male","0","no","Yes"
"509","7218-HKQFK","male","0","yes","No"
"510","4636-QRJKY","female","0","yes","Yes"
"511","1135-LMECX","female","0","no","No"
"512","4332-MUOEZ","male","1","yes","Yes"
"513","8535-SFUTN","male","0","no","No"
"514","5956-VKDTT","female","1","yes","No"
"515","8677-HDZEE","female","0","no","No"
"516","2475-MROZF","male","0","no","No"
"517","9412-GHEEC","male","0","no","No"
"518","3482-ABPKK","female","0","no","No"
"519","6705-LXORM","female","1","yes","No"
"520","0257-ZESQC","female","1","yes","No"
"521","7531-GQHME","male","0","no","No"
"522","5174-ITUMV","male","0","yes","Yes"
"523","4109-CYRBD","male","1","yes","No"
"524","0913-XWSCN","male","0","yes","Yes"
"525","6825-UYPFK","female","0","no","No"
"526","8397-MVTAZ","male","0","yes","No"
"527","0750-EBAIU","male","0","no","No"
"528","8606-CIQUL","male","1","yes","Yes"
"529","3571-DPYUH","male","0","yes","Yes"
"530","7601-GNDYK","male","0","yes","Yes"
"531","0356-OBMAC","female","1","no","No"
"532","8067-NIOYM","female","0","yes","Yes"
"533","1403-GYAFU","male","0","yes","Yes"
"534","4234-XTNEA","male","0","no","No"
"535","1297-VQDRP","male","1","yes","Yes"
"536","9282-IZGQK","female","0","no","No"
"537","5348-CAGXB","male","0","no","No"
"538","0621-HJWXJ","female","0","yes","No"
"539","5844-QVTAT","female","0","yes","Yes"
"540","8905-IAZPF","female","0","yes","No"
"541","5394-MEITZ","female","0","yes","Yes"
"542","6859-QNXIQ","female","0","yes","Yes"
"543","2782-LFZVW","female","0","no","No"
"544","2866-IKBTM","female","0","no","No"
"545","1342-JPNKI","male","0","no","No"
"546","2817-NTQDO","male","0","no","No"
"547","7129-AZJDE","male","0","yes","Yes"
"548","6986-IJDHX","male","0","yes","Yes"
"549","2560-PPCHE","female","0","no","No"
"550","4676-MQUEA","male","1","yes","No"
"551","8138-EALND","male","0","no","No"
"552","3580-HYCSP","male","0","yes","Yes"
"553","1352-HNSAW","female","0","yes","Yes"
"554","2075-PUEPR","male","0","yes","Yes"
"555","1982-FEBTD","female","0","yes","Yes"
"556","5301-GAUUY","male","0","no","No"
"557","5791-KAJFD","female","0","yes","Yes"
"558","2654-VBVPB","female","0","no","No"
"559","1154-HYWWO","male","0","no","No"
"560","2501-XWWTZ","male","0","no","No"
"561","3716-UVSPD","male","0","no","No"
"562","6815-ABQFQ","male","0","yes","No"
"563","7343-EOBEU","male","0","yes","No"
"564","3701-SFMUH","male","0","yes","Yes"
"565","6103-LIANB","male","0","yes","Yes"
"566","7319-VENRZ","male","0","no","No"
"567","5846-NEQVZ","male","0","yes","Yes"
"568","6967-QIQRV","male","0","yes","Yes"
"569","5781-RFZRP","male","0","yes","No"
"570","0939-YAPAF","female","0","no","No"
"571","0308-IVGOK","female","0","no","No"
"572","7293-LSCDV","female","0","yes","Yes"
"573","7025-WCBNE","male","1","no","No"
"574","5756-JYOJT","female","0","no","No"
"575","4710-FDUIZ","male","0","yes","No"
"576","6030-REHUX","female","1","yes","No"
"577","9548-LIGTA","male","0","yes","No"
"578","5150-LJNSR","male","0","yes","Yes"
"579","8270-RKSAP","male","0","no","No"
"580","6522-YRBXD","male","1","yes","No"
"581","2640-LYMOV","male","0","no","No"
"582","1218-VKFPE","female","0","yes","Yes"
"583","3627-FHKBK","female","0","no","No"
"584","2865-TCHJW","female","1","no","No"
"585","1423-BMPBQ","female","0","yes","Yes"
"586","2393-DIVAI","female","0","no","No"
"587","5192-EBGOV","female","1","no","No"
"588","4568-KNYWR","male","0","no","No"
"589","8752-IMQOS","male","0","yes","Yes"
"590","0742-LAFQK","male","0","yes","No"
"591","0795-LAFGP","male","0","yes","Yes"
"592","0619-OLYUR","male","0","yes","No"
"593","5512-IDZEI","male","0","yes","Yes"
"594","0459-SPZHJ","male","0","yes","Yes"
"595","0215-BQKGS","male","0","no","No"
"596","9244-ZVAPM","male","0","no","No"
"597","0719-SYFRB","female","0","no","No"
"598","8208-EUMTE","male","0","no","No"
"599","5172-MIGPM","male","0","no","No"
"600","1710-RCXUS","male","0","yes","No"
"601","0374-FIUCA","male","0","yes","No"
"602","5839-SUYVZ","male","0","no","No"
"603","5173-ZXXXL","male","0","no","No"
"604","1096-ADRUX","female","0","yes","Yes"
"605","2001-MCUUW","male","0","no","No"
"606","2731-GJRDG","female","0","no","No"
"607","4723-BEGSG","male","0","yes","No"
"608","6516-NKQBO","male","0","yes","Yes"
"609","8672-OAUPW","male","0","no","Yes"
"610","8207-DMRVL","male","0","yes","Yes"
"611","3419-SNJJD","female","1","yes","No"
"612","6543-CPZMK","male","0","yes","Yes"
"613","4765-OXPPD","female","0","yes","Yes"
"614","2804-ETQDK","male","0","no","Yes"
"615","6689-VRRTK","female","1","no","No"
"616","7138-GIRSH","male","0","no","No"
"617","9396-ZSFLL","female","0","no","No"
"618","6464-KEXXH","male","0","no","No"
"619","7134-MJPDY","female","1","no","No"
"620","5240-CAOYT","female","0","no","No"
"621","4059-IIEBK","female","0","no","No"
"622","4881-JVQOD","male","1","yes","Yes"
"623","0516-UXRMT","female","0","no","No"
"624","4851-BQDNX","male","0","yes","Yes"
"625","5148-HKFIR","female","0","no","No"
"626","1009-IRMNA","female","0","no","No"
"627","3003-CMDUU","female","0","yes","No"
"628","5016-IBERQ","male","0","yes","No"
"629","6797-UCJHZ","female","1","yes","No"
